titles,location,experience,domaine,contrat,salaire,etude,Unnamed: 0,more_info
Conseiller/Chargé clientèle,Taza ,Pas neccessaire,Banque / Finance / Assurance,A discuter,A discuter,Bac plus 2,,
Agent d'accueil/Hotesse d'acceuil,Casablanca ,Pas neccessaire,Accueil / Secrétariat / Administration,A discuter,A discuter,Bac plus 3,,
Agent d'accueil/Hotesse d'acceuil,Casablanca ,Pas neccessaire,Accueil / Secrétariat / Administration,A discuter,A discuter,Bac plus 3,,
clerc de notaire,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Droit / Justice / Association,A discuter,A discuter,Pas important,,
cuisinier,Salé ,Pas neccessaire,Tourisme / Hôtellerie / Restauration,A discuter,A discuter,Niveau Bac,,
HSE/QHSE,El jadida ,Deja Expérience/expérimentées/Premiere experiences ,Industrie / Ingénierie / Energie,A discuter,A discuter,Bac plus 5,,
Agent d'accueil/Hotesse d'acceuil,Agadir ,Pas neccessaire,Education / Social / Petite Enfance,Anapec,3 000 - 4 000 DH,Bac plus 2,,
vendeur/vendeuse,Marrakech ,Deja Expérience/expérimentées/Premiere experiences ,Mode / Luxe / Beauté,CDD,2 000 - 3 000 DH,Bac plus 2,,
Consultant,Berrechid ,Pas neccessaire,Commercial / Vente,A discuter,A discuter,Bac plus 3,,
Hotel Club recrute plusieurs profils ,Marrakech ,Deja Expérience/expérimentées/Premiere experiences ,Tourisme / Hôtellerie / Restauration,A discuter,A discuter,Pas important,,
Maitre(sse)/educatrice/Enseignante,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Education / Social / Petite Enfance,CDI,A discuter,Bac plus 2,,
Agent de communication,Rabat ,Deja Expérience/expérimentées/Premiere experiences ,Marketing / Communication / Publicité / Rp,A discuter,A discuter,Bac plus 5,,
Opérateur d'engins,Benguerir ,1 ans,Construction / Btp,A discuter,A discuter,Pas important,,
vendeur/vendeuse,Casablanca ,Pas neccessaire,Tourisme / Hôtellerie / Restauration,CDD,A discuter,Bac plus 3,,
electricien/Chargé en Electricité,Rabat ,Pas neccessaire,Industrie / Ingénierie / Energie,Interim,A discuter,Bac plus 2,,
vendeur/vendeuse,Marrakech ,Pas neccessaire,Commercial / Vente,A discuter,A discuter,Bac plus 2,,
cuisinier,Casablanca ,Pas neccessaire,Tourisme / Hôtellerie / Restauration,CDD,A discuter,Bac plus 3,,
Gestionnaire,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Comptabilité / Gestion / Audit,CDI,A discuter,Bac plus 4,,
Délégué,Casablanca ,Pas neccessaire,Santé / Médical,CDI,A discuter,Bac plus 2,,
Opératreur(ice) de saisie,Casablanca ,Pas neccessaire,Industrie / Ingénierie / Energie,CDD,2 000 - 3 000 DH,Bac plus 2,,
vendeur/vendeuse,Casablanca ,1 ans,Commercial / Vente,A discuter,2 000 - 3 000 DH,Pas important,,
Compatble/ assistant(e) comptable,Casablanca ,Pas neccessaire,Comptabilité / Gestion / Audit,A discuter,A discuter,Bac plus 4,,
Commercial(e)/ assistant(e) commerciale(e),Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Autre,A discuter,A discuter,Pas important,,
Compatble/ assistant(e) comptable,Casablanca ,5 ans,Informatique / Multimédia / Internet,CDI,A discuter,Bac plus 5,,
Commercial(e)/ assistant(e) commerciale(e),Casablanca ,3 ans,Autre,CDI,A discuter,Bac plus 5,,
Technicien Recyclage et réparation imprimante,Casablanca ,Pas neccessaire,Informatique / Multimédia / Internet,Stage,A discuter,Bac plus 2,,
Compatble/ assistant(e) comptable,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Industrie / Ingénierie / Energie,CDI,2 000 - 3 000 DH,Bac plus 2,,
MANAGER DE RIAD,Marrakech ,Pas neccessaire,Tourisme / Hôtellerie / Restauration,A discuter,8 000 - 10 000 DH,Niveau Bac,,
Peintre,Rabat ,Pas neccessaire,Maintenance / Entretien,CDI,A discuter,Pas important,,
Carrossier et tolier,Rabat ,Deja Expérience/expérimentées/Premiere experiences ,Automobile,CDI,A discuter,Pas important,,
Conseiller/Chargé clientèle,Marrakech ,Deja Expérience/expérimentées/Premiere experiences ,Commerce / Artisanat,CDI,A discuter,Pas important,,
RH/ assistant(e) RH,Mohammedia ,2 ans,Ressources Humaines / Recrutement / Intérim,CDI,A discuter,Bac plus 3,,
Coordinateur pédagogique/Business,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Immobilier,CDI,A discuter,Bac plus 2,,
Chauffeur,Casablanca ,Pas neccessaire,Autre,Interim,A discuter,Bac plus 2,,
Développeur Web,Casablanca ,3 ans,Informatique / Multimédia / Internet,CDI,A discuter,Bac plus 5,,
Technicien Réseaux Informatique,Casablanca ,2 ans,Informatique / Multimédia / Internet,CDI,A discuter,Bac plus 2,,
Chargé ADV,Casablanca ,4 ans,Immobilier,CDI,A discuter,Bac plus 2,,
Chef de produit,Rabat ,Pas neccessaire,Marketing / Communication / Publicité / Rp,CDI,A discuter,Bac plus 4,,
Commercial(e)/ assistant(e) commerciale(e),Casablanca ,3 ans,Commercial / Vente,CDI,6 000 - 8 000 DH,Bac plus 3,,
Commercial(e)/ assistant(e) commerciale(e),Marrakech ,Pas neccessaire,Education / Social / Petite Enfance,CDI,3 000 - 4 000 DH,Bac plus 2,,
Compatble/ assistant(e) comptable,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Comptabilité / Gestion / Audit,CDI,3 000 - 4 000 DH,Bac plus 2,,
Agent de sécurité,Casablanca ,Pas neccessaire,Sécurité / Surveillance / Gardiennage,Interim,A discuter,Niveau Bac,,
Gestionnaire,Salé ,3 ans,Comptabilité / Gestion / Audit,A discuter,A discuter,Bac plus 2,,
Assistante Personnelle ,Casablanca ,10 ans,Accueil / Secrétariat / Administration,Anapec,A discuter,Bac plus 4,,
Commercial(e)/ assistant(e) commerciale(e),Rabat ,Pas neccessaire,Commercial / Vente,CDI,6 000 - 8 000 DH,Bac plus 2,,
Commercial(e)/ assistant(e) commerciale(e),Casablanca ,Pas neccessaire,Transport / Achat / Logistique,CDI,A discuter,Pas important,,
Commercial(e)/ assistant(e) commerciale(e),Casablanca ,5 ans,Industrie / Ingénierie / Energie,Interim,A discuter,Bac plus 2,,
IT,Casablanca ,Pas neccessaire,Commercial / Vente,CDI,8 000 - 10 000 DH,Bac plus 3,,
Caissier/Caissière,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Grande Distribution,CDI,A discuter,Bac plus 2,,
Commercial(e)/ assistant(e) commerciale(e),Casablanca ,6 mois,Transport / Achat / Logistique,CDI,A discuter,Pas important,,
Technicien en Maintenance,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Grande Distribution,CDI,A discuter,Bac plus 2,,
Opérateur de Machine / BOUSKOURA,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Grande Distribution,A discuter,A discuter,Bac plus 2,,
TECHNICIEN DE LABORATOIRE / BOUSKOURA,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Grande Distribution,CDI,A discuter,Bac plus 2,,
Responsable de stock/Gestionnaire de stock,Casablanca ,Pas neccessaire,Commercial / Vente,A discuter,2 000 - 3 000 DH,Bac plus 2,,
trésorerie,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Autre,A discuter,A discuter,Bac plus 5,,
Délégué,Casablanca ,Pas neccessaire,Santé / Médical,CDD,A discuter,Bac plus 3,,
Archiviste,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Urbanisme / Architecture / Aménagement,A discuter,A discuter,Bac plus 5,,
Chargé des affaires réglementaires,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Biologie / Chimie / Pharmaceutique,CDI,A discuter,Bac plus 3,,
Acheteur/Responsable achat/Assistant(e) achat,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Ressources Humaines / Recrutement / Intérim,A discuter,A discuter,Pas important,,
Preparateur de commande,El jadida ,Pas neccessaire,Biologie / Chimie / Pharmaceutique,CDI,A discuter,Niveau Bac,,
Assistant(e) de direction,El jadida ,Pas neccessaire,Accueil / Secrétariat / Administration,A discuter,A discuter,Bac plus 2,,
operatrice de Cablage hay hassani,Casablanca ,Pas neccessaire,Grande Distribution,CDD,2 000 - 3 000 DH,Pas important,,
Commercial(e)/ assistant(e) commerciale(e),Casablanca ,Pas neccessaire,Commercial / Vente,CDI,A discuter,Pas important,,
Assistant(e) administrative,Casablanca ,Pas neccessaire,Commercial / Vente,A discuter,A discuter,Bac plus 2,,
Gestionnaire,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Commerce / Artisanat,A discuter,A discuter,Bac plus 3,,
serveur/serveuse,Rabat ,2 ans,Tourisme / Hôtellerie / Restauration,A discuter,A discuter,Niveau Bac,,
CHERCHONS INGENIEURS D'ETAT EN ENVIRONNEMENT,Casablanca ,Pas neccessaire,Construction / Btp,A discuter,6 000 - 8 000 DH,Bac plus 5,,
cuisinier,Marrakech ,Deja Expérience/expérimentées/Premiere experiences ,Tourisme / Hôtellerie / Restauration,A discuter,A discuter,Pas important,,
Archiviste,Tanger ,Pas neccessaire,Urbanisme / Architecture / Aménagement,CDD,8 000 - 10 000 DH,Bac plus 3,,
Ingénieur Génie Civil/Technicien génie civile,Casablanca ,5 ans,Construction / Btp,A discuter,6 000 - 8 000 DH,Bac plus 5,,
Agent de communication,Casablanca ,3 ans,Industrie / Ingénierie / Energie,Interim,A discuter,Bac plus 5,,
CHERCHONS DES INGENIEURS D'ETAT EN FLUIDES,Casablanca ,Pas neccessaire,Construction / Btp,A discuter,6 000 - 8 000 DH,Bac plus 5,,
Opératreur(ice) de saisie,Casablanca ,Pas neccessaire,Transport / Achat / Logistique,CDI,3 000 - 4 000 DH,Bac plus 2,,
Dessinateur/Projeteur/2D-3D,Casablanca ,Pas neccessaire,Urbanisme / Architecture / Aménagement,A discuter,A discuter,Pas important,,
Menuisier,Casablanca ,Pas neccessaire,Urbanisme / Architecture / Aménagement,A discuter,A discuter,Pas important,,
Chef de partie,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Tourisme / Hôtellerie / Restauration,CDI,4 000 - 6 000 DH,Pas important,,
Agent d'accueil/Hotesse d'acceuil,Marrakech ,Pas neccessaire,Tourisme / Hôtellerie / Restauration,CDI,A discuter,Pas important,,
cuisinier,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Tourisme / Hôtellerie / Restauration,CDI,6 000 - 8 000 DH,Pas important,,
Consultant,Nador ,Pas neccessaire,Commercial / Vente,A discuter,A discuter,Bac plus 3,,
Gestionnaire,Salé ,Deja Expérience/expérimentées/Premiere experiences ,Banque / Finance / Assurance,A discuter,A discuter,Bac plus 2,,
Assistant(e) administrative,Marrakech ,Deja Expérience/expérimentées/Premiere experiences ,Accueil / Secrétariat / Administration,A discuter,3 000 - 4 000 DH,Pas important,,
assistant(e) standariste,Marrakech ,Deja Expérience/expérimentées/Premiere experiences ,Accueil / Secrétariat / Administration,CDI,A discuter,Pas important,,
Compatble/ assistant(e) comptable,Casablanca ,Pas neccessaire,Comptabilité / Gestion / Audit,Stage,A discuter,Bac plus 2,,
Compatble/ assistant(e) comptable,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Comptabilité / Gestion / Audit,A discuter,A discuter,Bac plus 3,,
Commis boucherie,Marrakech ,Pas neccessaire,Tourisme / Hôtellerie / Restauration,A discuter,A discuter,Pas important,,
secrétaire,Casablanca ,Pas neccessaire,Accueil / Secrétariat / Administration,Interim,2 000 - 3 000 DH,Bac plus 2,,
Infographiste/web designer/Graphiste,Casablanca ,Pas neccessaire,Informatique / Multimédia / Internet,CDI,3 000 - 4 000 DH,Pas important,,
cuisinier,Casablanca ,Pas neccessaire,Tourisme / Hôtellerie / Restauration,A discuter,A discuter,Pas important,,
Commis Poissonnier,Marrakech ,Pas neccessaire,Tourisme / Hôtellerie / Restauration,A discuter,A discuter,Pas important,,
Directeur/Directrice,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Banque / Finance / Assurance,CDI,Plus de 30 000 DH,Bac plus 5,,
Acheteur/Responsable achat/Assistant(e) achat,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Biologie / Chimie / Pharmaceutique,CDI,A discuter,Bac plus 5,,
MEA Business Development Manager,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Informatique / Multimédia / Internet,CDI,A discuter,Bac plus 5,,
Technicien Réseaux Informatique,Tanger ,Pas neccessaire,Autre,A discuter,A discuter,Bac plus 2,,
Maitre(sse)/educatrice/Enseignante,Casablanca ,Pas neccessaire,Education / Social / Petite Enfance,CDI,A discuter,Bac plus 3,,
Commercial(e)/ assistant(e) commerciale(e),Marrakech ,5 ans,Autre,CDI,4 000 - 6 000 DH,Bac plus 2,,
Econome,Marrakech ,Deja Expérience/expérimentées/Premiere experiences ,Autre,CDI,3 000 - 4 000 DH,Bac plus 2,,
Agent de Facturation,Casablanca ,Pas neccessaire,Autre,A discuter,2 000 - 3 000 DH,Bac plus 3,,
FONTAINIER,Taroudant ,3 ans,Maintenance / Entretien,CDI,A discuter,Pas important,,
Assistant(e) juridice/Juriste,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Ressources Humaines / Recrutement / Intérim,A discuter,A discuter,Bac plus 5,,
Trésorier,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Autre,A discuter,A discuter,Bac plus 5,,
Maitre(sse)/educatrice/Enseignante,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Education / Social / Petite Enfance,A discuter,A discuter,Bac plus 4,,
