titles,location,experience,domaine,contrat,salaire,etude,Unnamed: 0,more_info
Acheteur/Responsable achat/Assistant(e) achat,Casablanca ,Pas neccessaire,Transport / Achat / Logistique,A discuter,A discuter,Bac plus 5,,
Gestionnaire,Casablanca ,5 ans,Droit / Justice / Association,A discuter,8 000 - 10 000 DH,Bac plus 3,,
Agent d'accueil/Hotesse d'acceuil,Casablanca ,Pas neccessaire,Accueil / Secrétariat / Administration,A discuter,A discuter,Pas important,,
Commercial(e)/ assistant(e) commerciale(e),Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Immobilier,CDI,A discuter,Bac plus 2,,
Directeur/Directrice,Marrakech ,5 ans,Marketing / Communication / Publicité / Rp,A discuter,A discuter,Bac plus 5,,
Responsable/Administrateur des ventes,Casablanca ,Pas neccessaire,Commercial / Vente,Interim,2 000 - 3 000 DH,Bac plus 2,,
Acheteur/Responsable achat/Assistant(e) achat,Marrakech ,Pas neccessaire,Construction / Btp,A discuter,A discuter,Bac plus 2,,
Technicien en Maintenance,Agadir ,Deja Expérience/expérimentées/Premiere experiences ,Construction / Btp,A discuter,A discuter,Bac plus 2,,
Assistant(e) administrative,Tanger ,Pas neccessaire,Grande Distribution,A discuter,A discuter,Bac plus 3,,
Front office/Back office/Office manager,Chafchaouen ,4 ans,Services aux Entreprises / Formation,CDI,A discuter,Bac plus 5,,
CENTRALISTE,Agadir ,Deja Expérience/expérimentées/Premiere experiences ,Construction / Btp,A discuter,A discuter,Pas important,,
Commercial(e)/ assistant(e) commerciale(e),Casablanca ,2 ans,Commercial / Vente,CDI,A discuter,Pas important,,
Logistique et transport,Tanger ,Pas neccessaire,Transport / Achat / Logistique,A discuter,A discuter,Bac plus 2,,
Audite,Casablanca ,3 ans,Comptabilité / Gestion / Audit,CDI,A discuter,Bac plus 5,,
Compatble/ assistant(e) comptable,Casablanca ,5 ans,Comptabilité / Gestion / Audit,CDD,A discuter,Bac plus 2,,
Commercial(e)/ assistant(e) commerciale(e),Rabat ,Pas neccessaire,Commercial / Vente,A discuter,Commission,Pas important,,
Conseiller/Chargé clientèle,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Autre,Interim,A discuter,Bac plus 2,,
vendeur/vendeuse,Casablanca ,2 ans,Commercial / Vente,A discuter,A discuter,Bac plus 2,,
Responsable/Administrateur des ventes,Rabat ,Pas neccessaire,Commercial / Vente,Interim,2 000 - 3 000 DH,Bac plus 2,,
fabrication mécanique/Mécanicien,Casablanca ,Pas neccessaire,Industrie / Ingénierie / Energie,CDI,A discuter,Bac plus 2,,
Commercial(e)/ assistant(e) commerciale(e),Tanger ,Deja Expérience/expérimentées/Premiere experiences ,Commercial / Vente,A discuter,A discuter,Bac plus 2,,
Compatble/ assistant(e) comptable,Berrechid ,5 ans,Comptabilité / Gestion / Audit,CDI,A discuter,Bac plus 3,,
Front office/Back office/Office manager,Rabat ,Pas neccessaire,Banque / Finance / Assurance,Interim,3 000 - 4 000 DH,Bac plus 3,,
Assistant(e) polyvalente ,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Industrie / Ingénierie / Energie,Interim,2 000 - 3 000 DH,Niveau Bac,,
Agent de bureau/Agent Administratif,Casablanca ,7 ans,Comptabilité / Gestion / Audit,CDI,Plus de 10 000 DH,Bac plus 5,,
Chef de Salle ,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Commercial / Vente,A discuter,A discuter,Niveau Bac,,
Commercial(e)/ assistant(e) commerciale(e),Rabat ,Pas neccessaire,Tourisme / Hôtellerie / Restauration,Interim,A discuter,Bac plus 2,,
Ingénieur Génie Civil/Technicien génie civile,Casablanca ,Pas neccessaire,Industrie / Ingénierie / Energie,CDI,A discuter,Bac plus 2,,
Infirmière,Casablanca ,Pas neccessaire,Santé / Médical,A discuter,A discuter,Bac plus 3,,
Technicien aluminium ,Marrakech ,3 ans,Médias / Art / Culture,A discuter,A discuter,Bac plus 2,,
assistante ,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Droit / Justice / Association,CDI,A discuter,Bac plus 3,,
INFERMIER,Rabat ,Pas neccessaire,Agriculture / Environnement / Espaces Verts,Interim,A discuter,Bac plus 2,,
technicien supérieur en procédé,Casablanca ,Pas neccessaire,Industrie / Ingénierie / Energie,CDI,A discuter,Bac plus 2,,
Compatble/ assistant(e) comptable,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Comptabilité / Gestion / Audit,CDI,A discuter,Bac plus 3,,
Formateur/Formatrice,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Services aux Entreprises / Formation,A discuter,A discuter,Pas important,,
secrétaire,Sidi kacem ,Pas neccessaire,Informatique / Multimédia / Internet,A discuter,A discuter,Bac plus 2,,
Réceptionniste,Casablanca ,1 ans,Tourisme / Hôtellerie / Restauration,CDD,3 000 - 4 000 DH,Pas important,,
Commercial(e)/ assistant(e) commerciale(e),Casablanca ,2 ans,Commercial / Vente,CDI,4 000 - 6 000 DH,Bac plus 4,,
Assistant(e) administrative,Fès ,Deja Expérience/expérimentées/Premiere experiences ,Accueil / Secrétariat / Administration,CDI,A discuter,Bac plus 2,,
femme de ménage,Agadir ,Pas neccessaire,Autre,A discuter,A discuter,Pas important,,
vendeur/vendeuse,Tanger ,Pas neccessaire,Commercial / Vente,A discuter,A discuter,Bac plus 2,,
Professeur,Berrechid ,Pas neccessaire,Education / Social / Petite Enfance,A discuter,A discuter,Pas important,,
secrétaire,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Accueil / Secrétariat / Administration,CDI,4 000 - 6 000 DH,Bac plus 4,,
Développeur Web,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Informatique / Multimédia / Internet,A discuter,A discuter,Pas important,,
Agent de Facturation,Casablanca ,2 ans,Biologie / Chimie / Pharmaceutique,CDI,4 000 - 6 000 DH,Bac plus 3,,
Agent de bureau/Agent Administratif,Rabat ,Pas neccessaire,Accueil / Secrétariat / Administration,Interim,3 000 - 4 000 DH,Bac plus 3,,
vendeur/vendeuse,Tetouan ,Pas neccessaire,Grande Distribution,CDI,A discuter,Bac plus 2,,
Compatble/ assistant(e) comptable,Rabat ,Deja Expérience/expérimentées/Premiere experiences ,Informatique / Multimédia / Internet,CDI,A discuter,Bac plus 5,,
Réceptionniste,Agadir ,Deja Expérience/expérimentées/Premiere experiences ,Tourisme / Hôtellerie / Restauration,CDI,A discuter,Bac plus 2,,
intendante pour riad experience de 6 ans minimum,Marrakech ,6 ans,Tourisme / Hôtellerie / Restauration,A discuter,A discuter,Bac plus 3,,
Assistant(e) de direction,Bouskoura ,Pas neccessaire,Commercial / Vente,CDI,A discuter,Bac plus 4,,
Commercial(e)/ assistant(e) commerciale(e),Casablanca ,3 ans,Grande Distribution,CDI,8 000 - 10 000 DH,Bac plus 4,,
Acheteur/Responsable achat/Assistant(e) achat,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Transport / Achat / Logistique,CDI,A discuter,Bac plus 2,,
Agent de Facturation,Casablanca ,Pas neccessaire,Banque / Finance / Assurance,Interim,6 000 - 8 000 DH,Bac plus 2,,
Maitre(sse)/educatrice/Enseignante,Agadir ,Deja Expérience/expérimentées/Premiere experiences ,Tourisme / Hôtellerie / Restauration,CDI,A discuter,Bac plus 2,,
AGENT VISITEUR POUR CENTRE DE VISITE TECHNIQUE,Settat ,Pas neccessaire,Automobile,CDD,3 000 - 4 000 DH,Pas important,,
Gérant,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Mode / Luxe / Beauté,A discuter,A discuter,Bac plus 2,,
serveur/serveuse,Agadir ,Deja Expérience/expérimentées/Premiere experiences ,Tourisme / Hôtellerie / Restauration,CDI,A discuter,Bac plus 2,,
Conseiller/Chargé clientèle,Casablanca ,Pas neccessaire,Marketing / Communication / Publicité / Rp,CDD,A discuter,Niveau Bac,,
serveur/serveuse,Mohammedia ,Pas neccessaire,Tourisme / Hôtellerie / Restauration,Interim,A discuter,Niveau Bac,,
Assistant(e) de gestion,Casablanca ,2 ans,Industrie / Ingénierie / Energie,CDI,A discuter,Bac plus 4,,
Magasinier,Tout le Maroc / A distance ,3 ans,Industrie / Ingénierie / Energie,A discuter,A discuter,Bac plus 2,,
femme de ménage,Agadir ,Deja Expérience/expérimentées/Premiere experiences ,Tourisme / Hôtellerie / Restauration,CDI,A discuter,Pas important,,
Maitre(sse)/educatrice/Enseignante,Temara ,Pas neccessaire,Education / Social / Petite Enfance,A discuter,A discuter,Bac plus 3,,
Logistique et transport,Casablanca ,Pas neccessaire,Autre,CDI,A discuter,Bac plus 5,,
Barman,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Tourisme / Hôtellerie / Restauration,A discuter,2 000 - 3 000 DH,Pas important,,
RH/ assistant(e) RH,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Ressources Humaines / Recrutement / Intérim,Interim,A discuter,Bac plus 3,,
Assistant(e) de gestion,Dakhla ,Deja Expérience/expérimentées/Premiere experiences ,Comptabilité / Gestion / Audit,A discuter,A discuter,Bac plus 5,,
Logistique et transport,Casablanca ,Pas neccessaire,Commercial / Vente,Stage,A discuter,Bac plus 2,,
Régleurs fraisage- Nouaceur,Casablanca ,Pas neccessaire,Industrie / Ingénierie / Energie,Interim,A discuter,Bac plus 2,,
Maitre(sse)/educatrice/Enseignante,Temara ,Pas neccessaire,Education / Social / Petite Enfance,A discuter,A discuter,Bac plus 3,,
Chargé(e) du SMQ,Laayoune ,1 ans,Industrie / Ingénierie / Energie,A discuter,A discuter,Bac plus 3,,
secrétaire,Tanger ,Pas neccessaire,Accueil / Secrétariat / Administration,Interim,3 000 - 4 000 DH,Bac plus 2,,
cuisinier,Kénitra ,Deja Expérience/expérimentées/Premiere experiences ,Tourisme / Hôtellerie / Restauration,A discuter,A discuter,Pas important,,
Acheteur/Responsable achat/Assistant(e) achat,Casablanca ,5 ans,Industrie / Ingénierie / Energie,A discuter,6 000 - 8 000 DH,Bac plus 2,,
Commercial(e)/ assistant(e) commerciale(e),Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Entreprise / Import / Export,CDD,A discuter,Niveau Bac,,
assistant(e) dentaire,Casablanca ,Pas neccessaire,Santé / Médical,A discuter,A discuter,Niveau Bac,,
electricien/Chargé en Electricité,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Industrie / Ingénierie / Energie,CDI,A discuter,Bac plus 3,,
Agent d'accueil/Hotesse d'acceuil,Casablanca ,Pas neccessaire,Accueil / Secrétariat / Administration,A discuter,A discuter,Bac plus 2,,
E-MERCHANDISER,Marrakech ,Deja Expérience/expérimentées/Premiere experiences ,Informatique / Multimédia / Internet,A discuter,3 000 - 4 000 DH,Bac plus 2,,
Responsable de trésorerie,Casablanca ,Pas neccessaire,Comptabilité / Gestion / Audit,CDD,A discuter,Bac plus 3,,
ingenieur - master en SIG,Dakhla ,Pas neccessaire,Industrie / Ingénierie / Energie,CDI,A discuter,Bac plus 5,,
Agent de communication,Marrakech ,Pas neccessaire,Immobilier,CDD,3 000 - 4 000 DH,Bac plus 2,,
Preparateur de commande,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Transport / Achat / Logistique,Anapec,2 000 - 3 000 DH,Niveau Bac,,
Infographiste/web designer/Graphiste,Dakhla ,5 ans,Construction / Btp,CDI,A discuter,Bac plus 2,,
Commercial(e)/ assistant(e) commerciale(e),Tanger ,Pas neccessaire,Education / Social / Petite Enfance,A discuter,A discuter,Bac plus 2,,
Commercial(e)/ assistant(e) commerciale(e),Casablanca ,2 mois,Immobilier,A discuter,Commission,Bac plus 2,,
Data manager,Marrakech ,Deja Expérience/expérimentées/Premiere experiences ,Marketing / Communication / Publicité / Rp,Anapec,A discuter,Bac plus 2,,
secrétaire,Beni Mellal ,Pas neccessaire,Accueil / Secrétariat / Administration,A discuter,A discuter,Bac plus 2,,
technicien de batiment,Rabat ,Pas neccessaire,Urbanisme / Architecture / Aménagement,A discuter,A discuter,Bac plus 2,,
Agent de bureau/Agent Administratif,Laayoune ,5 ans,Agriculture / Environnement / Espaces Verts,CDI,A discuter,Bac plus 5,,
Acheteur/Responsable achat/Assistant(e) achat,Laayoune ,3 ans,Agriculture / Environnement / Espaces Verts,CDI,Plus de 10 000 DH,Bac plus 4,,
Commercial(e)/ assistant(e) commerciale(e),Marrakech ,Pas neccessaire,Informatique / Multimédia / Internet,A discuter,3 000 - 4 000 DH,Bac plus 3,,
Infographiste/web designer/Graphiste,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Informatique / Multimédia / Internet,A discuter,2 000 - 3 000 DH,Bac plus 2,,
Maitre(sse)/educatrice/Enseignante,Temara ,Pas neccessaire,Education / Social / Petite Enfance,A discuter,A discuter,Bac plus 2,,
Technicien de climatisation,Casablanca ,Pas neccessaire,Maintenance / Entretien,CDD,A discuter,Bac plus 2,,
Formateur/Formatrice,Kénitra ,Deja Expérience/expérimentées/Premiere experiences ,Ressources Humaines / Recrutement / Intérim,CDI,6 000 - 8 000 DH,Bac plus 5,,
Responsable production/Assistant(e) Production,Bouznika ,Pas neccessaire,Grande Distribution,Interim,2 000 - 3 000 DH,Niveau Bac,,
Employés(es) de libre service,Casablanca ,Pas neccessaire,Grande Distribution,Anapec,2 000 - 3 000 DH,Bac plus 2,,
Caissier/Caissière,Casablanca ,Pas neccessaire,Grande Distribution,Anapec,2 000 - 3 000 DH,Bac plus 2,,
Assistant(e) administrative,Nouaceur ,Pas neccessaire,Automobile,A discuter,3 000 - 4 000 DH,Bac plus 3,,
Sav(f),Casablanca ,Pas neccessaire,Autre,A discuter,A discuter,Bac plus 3,,
Acheteur/Responsable achat/Assistant(e) achat,Mohammedia ,Pas neccessaire,Transport / Achat / Logistique,A discuter,A discuter,Bac plus 3,,
Responsable production/Assistant(e) Production,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Industrie / Ingénierie / Energie,CDI,A discuter,Bac plus 5,,
Contrôleur,Casablanca ,Pas neccessaire,Industrie / Ingénierie / Energie,CDI,A discuter,Bac plus 2,,
Opticien ,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Commercial / Vente,A discuter,A discuter,Pas important,,
Réceptionniste,Marrakech ,Pas neccessaire,Accueil / Secrétariat / Administration,A discuter,3 000 - 4 000 DH,Bac plus 2,,
Coiffeuse,Agadir ,Pas neccessaire,Mode / Luxe / Beauté,A discuter,3 000 - 4 000 DH,Niveau Bac,,
Esthéticienne Marrakech ,Marrakech ,Pas neccessaire,Mode / Luxe / Beauté,A discuter,3 000 - 4 000 DH,Niveau Bac,,
Agent d'accueil/Hotesse d'acceuil,Marrakech ,Deja Expérience/expérimentées/Premiere experiences ,Tourisme / Hôtellerie / Restauration,Interim,A discuter,Bac plus 2,,
Barman,Marrakech ,Deja Expérience/expérimentées/Premiere experiences ,Tourisme / Hôtellerie / Restauration,Interim,A discuter,Pas important,,
Soudeur,Fès ,5 ans,Maintenance / Entretien,A discuter,A discuter,Pas important,,
Caissier/Caissière,Marrakech ,Deja Expérience/expérimentées/Premiere experiences ,Tourisme / Hôtellerie / Restauration,Interim,A discuter,Pas important,,
cuisinier,Marrakech ,Pas neccessaire,Tourisme / Hôtellerie / Restauration,Interim,A discuter,Niveau Bac,,
Un professionnel du diagnostic automobile ,Fès ,Deja Expérience/expérimentées/Premiere experiences ,Automobile,A discuter,A discuter,Pas important,,
vendeur/vendeuse,Marrakech ,Deja Expérience/expérimentées/Premiere experiences ,Tourisme / Hôtellerie / Restauration,Interim,A discuter,Bac plus 2,,
Compatble/ assistant(e) comptable,Marrakech ,Pas neccessaire,Comptabilité / Gestion / Audit,A discuter,A discuter,Bac plus 2,,
Maitre(sse)/educatrice/Enseignante,Bouznika ,Pas neccessaire,Education / Social / Petite Enfance,CDI,A discuter,Bac plus 2,,
Compatble/ assistant(e) comptable,Rabat ,Pas neccessaire,Comptabilité / Gestion / Audit,CDI,3 000 - 4 000 DH,Bac plus 2,,
Responsable de Projets Eoliens confirmé,Casablanca ,6 ans,Industrie / Ingénierie / Energie,CDI,Plus de 30 000 DH,Bac plus 5,,
vendeur/vendeuse,Marrakech ,Deja Expérience/expérimentées/Premiere experiences ,Tourisme / Hôtellerie / Restauration,Interim,A discuter,Niveau Bac,,
Coordinateur pédagogique/Business,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Ressources Humaines / Recrutement / Intérim,CDI,Plus de 10 000 DH,Bac plus 5,,
vendeur/vendeuse,Fès ,2 ans,Industrie / Ingénierie / Energie,A discuter,A discuter,Bac plus 2,,
Spécialiste piscine - Marrakech,Marrakech ,Pas neccessaire,Autre,CDI,A discuter,Bac plus 2,,
vendeur/vendeuse,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Tourisme / Hôtellerie / Restauration,Anapec,A discuter,Bac plus 2,,
Technicien CNC,Tanger ,1 ans,Automobile,A discuter,A discuter,Bac plus 2,,
Aide general(e),Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Tourisme / Hôtellerie / Restauration,Anapec,A discuter,Niveau Bac,,
Chargé de parc auto,Tanger ,Pas neccessaire,Automobile,A discuter,A discuter,Pas important,,
Chef de chantier,Tout le Maroc / A distance ,10 ans,Industrie / Ingénierie / Energie,A discuter,A discuter,Bac plus 5,,
Agent de bureau/Agent Administratif,Casablanca ,Pas neccessaire,Construction / Btp,CDI,A discuter,Bac plus 3,,
Opérateur de Tri marchandises cariste intérim casa,Casablanca ,Pas neccessaire,Maintenance / Entretien,Interim,2 000 - 3 000 DH,Bac plus 2,,
Auxiliaire de vie,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Santé / Médical,A discuter,A discuter,Bac plus 2,,
Data manager,Tanger ,2 ans,Autre,A discuter,A discuter,Pas important,,
Infirmière,Casablanca ,Pas neccessaire,Santé / Médical,CDI,A discuter,Bac plus 3,,
Esthéticiennes/praticiennes ,Rabat ,Deja Expérience/expérimentées/Premiere experiences ,Mode / Luxe / Beauté,A discuter,3 000 - 4 000 DH,Bac plus 2,,
Technicien en Maintenance,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Industrie / Ingénierie / Energie,A discuter,A discuter,Bac plus 5,,
Chauffeur,Safi ,Pas neccessaire,Autre,CDI,A discuter,Niveau Bac,,
Technicien en Maintenance,Tout le Maroc / A distance ,5 ans,Industrie / Ingénierie / Energie,A discuter,A discuter,Bac plus 5,,
chargé portefeuille,Meknès ,Deja Expérience/expérimentées/Premiere experiences ,Banque / Finance / Assurance,CDI,3 000 - 4 000 DH,Bac plus 2,,
chargé portefeuille,Salé ,Deja Expérience/expérimentées/Premiere experiences ,Banque / Finance / Assurance,CDI,3 000 - 4 000 DH,Bac plus 2,,
serveur/serveuse,Tanger ,Deja Expérience/expérimentées/Premiere experiences ,Tourisme / Hôtellerie / Restauration,Interim,A discuter,Niveau Bac,,
Technicien Réseaux Informatique,Casablanca ,Pas neccessaire,Informatique / Multimédia / Internet,Anapec,A discuter,Bac plus 2,,
Réceptionniste,Marrakech ,Pas neccessaire,Accueil / Secrétariat / Administration,Interim,A discuter,Bac plus 2,,
cuisinier,Marrakech ,Pas neccessaire,Tourisme / Hôtellerie / Restauration,Interim,A discuter,Pas important,,
vendeur/vendeuse,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Commercial / Vente,Interim,4 000 - 6 000 DH,Bac plus 2,,
TECHNICIEN POLYVALENT,Marrakech ,4 ans,Autre,Interim,A discuter,Pas important,,
secrétaire,Temara ,Deja Expérience/expérimentées/Premiere experiences ,Accueil / Secrétariat / Administration,A discuter,3 000 - 4 000 DH,Bac plus 2,,
vendeur/vendeuse,Casablanca ,Pas neccessaire,Commercial / Vente,A discuter,A discuter,Pas important,,
Aide general(e),Casablanca ,Pas neccessaire,Education / Social / Petite Enfance,CDI,A discuter,Bac plus 2,,
Infirmière,Casablanca ,Pas neccessaire,Education / Social / Petite Enfance,A discuter,A discuter,Bac plus 3,,
Infirmière,Khouribga ,Pas neccessaire,Santé / Médical,A discuter,A discuter,Bac plus 3,,
Technicien de radiologie Médicale ,Khouribga ,Pas neccessaire,Santé / Médical,A discuter,A discuter,Bac plus 3,,
serveur/serveuse,Rabat ,Pas neccessaire,Tourisme / Hôtellerie / Restauration,Interim,A discuter,Niveau Bac,,
Infirmière,Khouribga ,Pas neccessaire,Santé / Médical,A discuter,A discuter,Bac plus 3,,
Assistant(e) de direction,Bouskoura ,Pas neccessaire,Accueil / Secrétariat / Administration,A discuter,A discuter,Bac plus 3,,
IT,Casablanca ,2 ans,Ressources Humaines / Recrutement / Intérim,CDI,A discuter,Bac plus 5,,
Commercial(e)/ assistant(e) commerciale(e),Rabat ,Pas neccessaire,Commercial / Vente,A discuter,A discuter,Bac plus 2,,
Techniciens Méthodes,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Maintenance / Entretien,Interim,A discuter,Bac plus 2,,
Opérateur d'emballage (H/F),Nouaceur ,Pas neccessaire,Autre,Interim,A discuter,Bac plus 2,,
Assistant(e) de direction,Casablanca ,3 ans,Accueil / Secrétariat / Administration,CDI,4 000 - 6 000 DH,Bac plus 3,,
Commercial(e)/ assistant(e) commerciale(e),Rabat ,Pas neccessaire,Commercial / Vente,CDD,2 000 - 3 000 DH,Bac plus 2,,
fabrication mécanique/Mécanicien,Agadir ,Deja Expérience/expérimentées/Premiere experiences ,Construction / Btp,CDI,A discuter,Bac plus 3,,
Responsable qualité/Ingénieur de Qualité,Nouaceur ,Pas neccessaire,Autre,Interim,A discuter,Bac plus 2,,
Commercial(e)/ assistant(e) commerciale(e),Tout le Maroc / A distance ,1 ans,Commercial / Vente,CDI,A discuter,Pas important,,
Commercial(e)/ assistant(e) commerciale(e),Agadir ,1 ans,Commercial / Vente,CDI,A discuter,Pas important,,
Commercial(e)/ assistant(e) commerciale(e),Marrakech ,1 ans,Commercial / Vente,CDI,A discuter,Pas important,,
Caissier/Caissière,Marrakech ,Deja Expérience/expérimentées/Premiere experiences ,Grande Distribution,A discuter,A discuter,Niveau Bac,,
Maitre(sse)/educatrice/Enseignante,Casablanca ,Pas neccessaire,Education / Social / Petite Enfance,CDI,A discuter,Pas important,,
Commercial(e)/ assistant(e) commerciale(e),Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Santé / Médical,A discuter,A discuter,Bac plus 5,,
fabrication mécanique/Mécanicien,Casablanca ,7 ans,Maintenance / Entretien,CDI,A discuter,Bac plus 3,,
assistant(e) dentaire,Casablanca ,Pas neccessaire,Santé / Médical,A discuter,A discuter,Bac plus 2,,
Assistant(e) administrative,Casablanca ,Pas neccessaire,Accueil / Secrétariat / Administration,A discuter,A discuter,Bac plus 2,,
opérateur PAO,Marrakech ,5 ans,Édition / Imprimerie / Journalisme,CDI,A discuter,Bac plus 2,,
Coordinateur pédagogique/Business,Oualidia ,2 ans,Accueil / Secrétariat / Administration,Interim,A discuter,Bac plus 3,,
Infographiste/web designer/Graphiste,Agadir ,Pas neccessaire,Autre,CDI,A discuter,Pas important,,
Caissier/Caissière,Oualidia ,2 ans,Comptabilité / Gestion / Audit,Interim,A discuter,Bac plus 2,,
FERAILLEUR - MAINOEUVRE,Kénitra ,Pas neccessaire,Construction / Btp,CDD,A discuter,Pas important,,
Superviseur,Oualidia ,4 ans,Tourisme / Hôtellerie / Restauration,Interim,A discuter,Bac plus 2,,
Peintre,Khouribga ,2 ans,Industrie / Ingénierie / Energie,Interim,A discuter,Pas important,,
Agent de comptoir -Meknès,Meknès ,Deja Expérience/expérimentées/Premiere experiences ,Agriculture / Environnement / Espaces Verts,CDI,A discuter,Bac plus 2,,
Agent d'exploitation,Casablanca ,1 ans,Banque / Finance / Assurance,Interim,A discuter,Bac plus 3,,
Technicien biomedical ,Tanger ,Pas neccessaire,Maintenance / Entretien,CDI,A discuter,Bac plus 2,,
livreur,El jadida ,Deja Expérience/expérimentées/Premiere experiences ,Grande Distribution,A discuter,A discuter,Pas important,,
livreur,Salé ,Deja Expérience/expérimentées/Premiere experiences ,Grande Distribution,CDI,A discuter,Niveau Bac,,
Infographiste/web designer/Graphiste,Rabat ,Pas neccessaire,Services aux Entreprises / Formation,A discuter,A discuter,Pas important,,
livreur,Salé ,Pas neccessaire,Grande Distribution,A discuter,A discuter,Pas important,,
chargé d'affaire régional,Meknès ,Pas neccessaire,Industrie / Ingénierie / Energie,CDI,6 000 - 8 000 DH,Bac plus 4,,
Conseiller/Chargé clientèle,Casablanca ,1 ans,Automobile,CDD,A discuter,Bac plus 2,,
Marketing digital/Web-markteur,Marrakech ,Pas neccessaire,Marketing / Communication / Publicité / Rp,A discuter,A discuter,Bac plus 2,,
Compatble/ assistant(e) comptable,Rabat ,3 ans,Agriculture / Environnement / Espaces Verts,CDI,A discuter,Bac plus 3,,
Commercial(e)/ assistant(e) commerciale(e),Casablanca ,3 ans,Commercial / Vente,CDI,4 000 - 6 000 DH,Bac plus 2,,
Technicien Système et Réseau,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Construction / Btp,CDI,A discuter,Bac plus 2,,
Magasinier,Tanger ,Pas neccessaire,Transport / Achat / Logistique,A discuter,A discuter,Bac plus 2,,
Conseiller/Chargé clientèle,Casablanca ,Pas neccessaire,Banque / Finance / Assurance,Anapec,2 000 - 3 000 DH,Bac plus 2,,
chargés de recouvrement,Rabat ,Pas neccessaire,Informatique / Multimédia / Internet,CDI,A discuter,Bac plus 4,,
Responsable qualité/Ingénieur de Qualité,Casablanca ,Pas neccessaire,Accueil / Secrétariat / Administration,A discuter,A discuter,Bac plus 2,,
Surveillant/Video surveillance,Casablanca ,Pas neccessaire,Sécurité / Surveillance / Gardiennage,CDD,2 000 - 3 000 DH,Niveau Bac,,
Commercial(e)/ assistant(e) commerciale(e),Rabat ,Pas neccessaire,Commercial / Vente,CDI,A discuter,Bac plus 5,,
cuisinier,Casablanca ,Pas neccessaire,Grande Distribution,Anapec,2 000 - 3 000 DH,Bac plus 2,,
Commercial(e)/ assistant(e) commerciale(e),Casablanca ,Pas neccessaire,Commercial / Vente,Anapec,A discuter,Bac plus 2,,
Magasinier,Khouribga ,Pas neccessaire,Grande Distribution,Interim,2 000 - 3 000 DH,Niveau Bac,,
Agent entretien piscine,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Maintenance / Entretien,Anapec,2 000 - 3 000 DH,Bac plus 2,,
Opératreur(ice) de saisie,Tout le Maroc / A distance ,Pas neccessaire,Grande Distribution,Anapec,3 000 - 4 000 DH,Bac plus 2,,
Magasinier,Casablanca ,Pas neccessaire,Commercial / Vente,A discuter,A discuter,Bac plus 2,,
Marketing digital/Web-markteur,Mohammedia ,Pas neccessaire,Informatique / Multimédia / Internet,CDD,A discuter,Pas important,,
Gestionnaire,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Construction / Btp,CDI,A discuter,Bac plus 2,,
Technicien en Maintenance,Marrakech ,Pas neccessaire,Maintenance / Entretien,A discuter,3 000 - 4 000 DH,Bac plus 2,,
vendeur/vendeuse,Casablanca ,Pas neccessaire,Commercial / Vente,A discuter,A discuter,Bac plus 2,,
Infographiste/web designer/Graphiste,Rabat ,5 ans,Agriculture / Environnement / Espaces Verts,CDI,A discuter,Bac plus 5,,
RH/ assistant(e) RH,Casablanca ,5 ans,Construction / Btp,CDI,A discuter,Bac plus 5,,
Technicien en Maintenance,Rabat ,3 ans,Construction / Btp,CDI,A discuter,Bac plus 2,,
Marketing digital/Web-markteur,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Accueil / Secrétariat / Administration,A discuter,2 000 - 3 000 DH,Pas important,,
Assistant(e) administrative,Casablanca ,Pas neccessaire,Accueil / Secrétariat / Administration,CDI,3 000 - 4 000 DH,Bac plus 2,,
